Track Name,Artist Name(s),Album Name,Album Release Date,Track Number,Explicit
HandClap,Fitz and The Tantrums,Fitz and The Tantrums (Deluxe Edition),7/24/2017,2,false
Do It,Tuxedo,Tuxedo,3/3/2015,11,false
Perfect Holiday (feat. Twin Shadow),"Big Data, Twin Shadow",2,2013,10,false
"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld, Alesso, Florida Georgia Line, WATT","Let Me Go (with Alesso, Florida Georgia Line & watt)",9/8/2017,1,false
All I Heard,Mitzi,Truly Alive,2/15/2013,4,false
Let the Rhythm Just,"The Polish Ambassador, Mr. Lif, Ayla Nereo",Pushing Through the Pavement,6/10/2014,2,false
Fiona Coyne,Skylar Spence,Fiona Coyne/Fall Harder,8/8/2014,1,false
Seeya,"deadmau5, Colleen D'agostino",while(1<2),6/24/2014,15,false
Paranoid (feat. B.o.B),"Ty Dolla $ign, B.o.B",Beach House EP,1/21/2014,2,true
Crimewave,Crystal Castles,Crystal Castles,3/18/2008,3,false
Attak,"Rustie, Danny Brown",Green Language,8/25/2014,6,false
Different Colors,WALK THE MOON,TALKING IS HARD,12/2/2014,1,false
Real Slow,"Miami Horror, Sarah Chernoff",All Possible Futures,4/15/2015,2,false
Salt,Bad Suns,Language & Perspective,7/1/2014,7,false
So Am I,Ava Max,So Am I,3/7/2019,1,false
The Rapture Ball,Poppy,Am I A Girl?,10/31/2018,10,false
Fire,Barns Courtney,The Attractions Of Youth,9/29/2017,1,false
Hot Blood,KALEO,A/B,6/10/2016,5,false
War,grandson,War,5/4/2018,1,false
Go To War,NOTHING MORE,Go To War,6/23/2017,1,true
Unglued,Big Data,Unglued,1/25/2019,1,false
Snowed In (feat. Rivers Cuomo),"Big Data, Rivers Cuomo",2,2013,5,false
Big Dater,Big Data,2,2013,6,false
Unstoppable,The Score,ATLAS,10/13/2017,6,false
Stronger,The Score,Pressure,2/1/2019,2,false
Legends Never Die (feat. Against the Current),"League of Legends, Against The Current",Legends Never Die (feat. Against The Current),9/15/2017,1,false
Ritual (feat. Wrabel),"Marshmello, Wrabel",Ritual (feat. Wrabel),10/27/2016,1,false
Monster (Under My Bed),Call Me Karizma,Monster (Under My Bed),1/25/2019,1,true
Leave The Light On,Zero 9:36,Leave The Light On,3/1/2019,1,true
Feel Invincible,Skillet,Unleashed,8/5/2016,1,false
Time To Start,Charming Liars,"Thought, Flesh and Bone",3/1/2019,10,false
What's Wrong,PVRIS,"All We Know Of Heaven, All We Need Of Hell",8/25/2017,4,false
Leave It Now,LAYNE,Leave It Now,3/29/2019,1,false
Kill Jill (feat. Killer Mike & Jeezy),"Big Boi, Killer Mike, Jeezy",BOOMIVERSE,6/16/2017,2,true
She Never Tells Me,Phantoms,Phantoms,3/31/2017,1,false
Brazilian Soul (feat. Sofi Tukker),"The Knocks, Sofi Tukker",New York Narcotic,9/28/2018,6,false
Hurts Like Hell (feat. Offset),"Madison Beer, Offset",Hurts Like Hell (feat. Offset),11/9/2018,1,true
Station Romance,Crade,Station Romance,1/1/2017,1,false
Aristocrat,"Poppy, Garibay",Am I A Girl?,10/31/2018,7,false
Solo (feat. Demi Lovato),"Clean Bandit, Demi Lovato",Solo (feat. Demi Lovato),5/17/2018,1,false
Here,Alessia Cara,Know-It-All (Deluxe),11/13/2015,2,false
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),12/14/2018,2,false
What's Up Danger (with Black Caviar),"Blackway, Black Caviar",Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),12/14/2018,1,false
Love Is a Bitch,Two Feet,Love Is a Bitch,5/19/2017,1,true
Baby I'm Yours,"Breakbot, Irfane",By Your Side,9/17/2012,10,false
